(-175.0, 45.0, 0.0) (0, 17) Down 0
(-175.0, 35.0, 0.0) (0, 16) Down 0
(-175.0, 15.0, 0.0) (0, 14) Down 0
(-175.0, 5.0, 0.0) (0, 13) Down 0
(-175.0, -15.0, 0.0) (0, 11) Down 0
(-175.0, -25.0, 0.0) (0, 10) Down 0
(-175.0, -5.0, 0.0) (0, 12) Down 0
(-175.0, 25.0, 0.0) (0, 15) Down 0
(-175.0, 55.0, 0.0) (0, 18) Down 0
(-175.0, 65.0, 0.0) (0, 19) Down 0
(-175.0, -35.0, 0.0) (0, 9) Down 0
(-175.0, -45.0, 0.0) (0, 8) Down 0
(-175.0, -55.0, 0.0) (0, 7) Down 0
(-175.0, -65.0, 0.0) (0, 6) Down 0
(-175.0, -75.0, 0.0) (0, 5) Down 0
(-175.0, -85.0, 0.0) (0, 4) Down 0
(-175.0, -95.0, 0.0) (0, 3) Down 0
(-175.0, -105.0, 0.0) (0, 2) Down 0
(-175.0, -115.0, 0.0) (0, 1) Down 0
(-175.0, -125.0, 0.0) (0, 0) Down 0
(-165.0, -125.0, 0.0) (1, 0) Down 0
(-155.0, -125.0, 0.0) (2, 0) Down 0
(-145.0, -125.0, 0.0) (3, 0) Down 0
(-135.0, -125.0, 0.0) (4, 0) Down 0
(-125.0, -125.0, 0.0) (5, 0) Down 0
(-115.0, -125.0, 0.0) (6, 0) Down 0
(-105.0, -125.0, 0.0) (7, 0) Down 0
(-95.0, -125.0, 0.0) (8, 0) Down 0
(-85.0, -125.0, 0.0) (9, 0) Down 0
(-65.0, -125.0, 0.0) (11, 0) Down 0
(-75.0, -125.0, 0.0) (10, 0) Down 0
(-55.0, -125.0, 0.0) (12, 0) Down 0
(-45.0, -125.0, 0.0) (13, 0) Down 0
(-35.0, -125.0, 0.0) (14, 0) Down 0
(-25.0, -125.0, 0.0) (15, 0) Down 0
(-15.0, -125.0, 0.0) (16, 0) Down 0
(-5.0, -125.0, 0.0) (17, 0) Down 0
(5.0, -125.0, 0.0) (18, 0) Down 0
(15.0, -125.0, 0.0) (19, 0) Down 0
(15.0, -115.0, 0.0) (19, 1) Down 0
(15.0, -105.0, 0.0) (19, 2) Down 0
(15.0, -95.0, 0.0) (19, 3) Down 0
(15.0, -85.0, 0.0) (19, 4) Down 0
(15.0, -75.0, 0.0) (19, 5) Down 0
(15.0, -65.0, 0.0) (19, 6) Down 0
(15.0, -55.0, 0.0) (19, 7) Down 0
(15.0, -45.0, 0.0) (19, 8) Down 0
(15.0, -35.0, 0.0) (19, 9) Down 0
(15.0, -25.0, 0.0) (19, 10) Down 0
(15.0, -15.0, 0.0) (19, 11) Down 0
(15.0, -5.0, 0.0) (19, 12) Down 0
(15.0, 5.0, 0.0) (19, 13) Down 0
(15.0, 15.0, 0.0) (19, 14) Down 0
(15.0, 25.0, 0.0) (19, 15) Down 0
(15.0, 35.0, 0.0) (19, 16) Down 0
(15.0, 45.0, 0.0) (19, 17) Down 0
(15.0, 55.0, 0.0) (19, 18) Down 0
(15.0, 65.0, 0.0) (19, 19) Down 0
(5.0, 65.0, 0.0) (18, 19) Down 0
(-5.0, 65.0, 0.0) (17, 19) Down 0
(-25.0, 65.0, 0.0) (15, 19) Down 0
(-15.0, 65.0, 0.0) (16, 19) Down 0
(-35.0, 65.0, 0.0) (14, 19) Down 0
(-45.0, 65.0, 0.0) (13, 19) Down 0
(-55.0, 65.0, 0.0) (12, 19) Down 0
(-65.0, 65.0, 0.0) (11, 19) Down 0
(-85.0, 65.0, 0.0) (9, 19) Down 0
(-75.0, 65.0, 0.0) (10, 19) Down 0
(-95.0, 65.0, 0.0) (8, 19) Down 0
(-105.0, 65.0, 0.0) (7, 19) Down 0
(-115.0, 65.0, 0.0) (6, 19) Down 0
(-125.0, 65.0, 0.0) (5, 19) Down 0
(-135.0, 65.0, 0.0) (4, 19) Down 0
(-155.0, 65.0, 0.0) (2, 19) Down 0
(-145.0, 65.0, 0.0) (3, 19) Down 0
(-165.0, 65.0, 0.0) (1, 19) Down 0
(-75.0, -15.0, 0.0) (10, 11) Down 6
(-35.0, -25.0, 0.0) (14, 10) Down 0
(-35.0, -15.0, 0.0) (14, 11) Down 0
(-35.0, -5.0, 0.0) (14, 12) Down 0
(-35.0, 5.0, 0.0) (14, 13) Down 0
(-25.0, -5.0, 0.0) (15, 12) Down 2
(-55.0, 15.0, 0.0) (12, 14) Down 1
(-55.0, 5.0, 0.0) (12, 13) Down 1
(-55.0, -5.0, 0.0) (12, 12) Down 1
(-55.0, -15.0, 0.0) (12, 11) Down 1
(-55.0, -25.0, 0.0) (12, 10) Down 1
(-55.0, -35.0, 0.0) (12, 9) Down 1
(-55.0, -45.0, 0.0) (12, 8) Down 1
(-55.0, -55.0, 0.0) (12, 7) Down 1
(-25.0, -25.0, 0.0) (15, 10) Down 0
(-15.0, -25.0, 0.0) (16, 10) Down 0
(-35.0, 15.0, 0.0) (14, 14) Down 0
(-25.0, 15.0, 0.0) (15, 14) Down 0
(-15.0, 15.0, 0.0) (16, 14) Down 0
